                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.5444,                 3.4718,                 2.1633,                 2.2784,                 3.9247,                 1.8463,                0.00165,                0.84314,                0.01357,                0.00373,                 2.4875,                  3.619,                 2.3769,                 2.1961,                 4.0355,                 1.8853,               0.007822,               0.007822,               0.007822
                     25,                 2.5514,                  3.479,                 2.1655,                 2.2523,                 3.9314,                  1.813,                0.00164,                0.83824,                0.01807,                0.00446,                 2.5476,                 3.7607,                 2.3765,                 2.1224,                 4.1789,                 1.7859,               0.007723,               0.007723,               0.007723
                     26,                 2.5536,                  3.443,                 2.2225,                 2.2432,                 3.9066,                 1.8743,                0.00137,                0.70098,                0.00558,                0.00219,                 2.6337,                 3.9878,                 2.5749,                 2.2824,                 4.4864,                 2.0958,               0.007624,               0.007624,               0.007624
                     27,                 2.5139,                 3.3923,                 2.1716,                 2.2403,                 3.8485,                 1.8001,                0.05224,                0.04412,                0.01805,                0.00437,                 2.5501,                 3.7846,                 2.3952,                 2.2231,                 4.2562,                  1.905,               0.007525,               0.007525,               0.007525
                     28,                 2.5264,                 3.4054,                 2.1866,                 2.2441,                  3.833,                 1.8164,                0.03521,                0.07843,                0.01101,                0.00297,                 2.4916,                 3.6067,                 2.3137,                 2.2008,                 19.457,                 1.9071,               0.007426,               0.007426,               0.007426
                     29,                 2.5122,                 3.3567,                 2.1411,                 2.2445,                 3.8246,                 1.8328,                0.00136,                0.69608,                0.00494,                0.00142,                 2.6622,                 4.3928,                  2.558,                 2.2154,                 5.1001,                 2.0491,               0.007327,               0.007327,               0.007327
                     30,                    2.5,                 3.3505,                 2.1509,                 2.1931,                 3.8459,                 1.7986,                0.00158,                0.80882,                0.01474,                0.00343,                 2.5521,                 3.5966,                  2.297,                 2.3398,                  4.248,                 1.9407,               0.007228,               0.007228,               0.007228
                     31,                 2.4891,                 3.2948,                 2.1263,                 2.2164,                 3.7578,                 1.8104,                0.00684,                0.61765,                0.04412,                0.01186,                 2.5426,                  3.495,                 2.2636,                  2.069,                 3.9699,                 1.8182,               0.007129,               0.007129,               0.007129
                     32,                 2.4685,                 3.2895,                 2.1184,                 2.1655,                 3.7422,                 1.7813,                0.10675,                0.02451,                0.01601,                0.00489,                 2.4927,                 3.7113,                  2.275,                  2.126,                 4.1057,                 1.8326,                0.00703,                0.00703,                0.00703
                     33,                 2.4805,                 3.2202,                 2.1144,                 2.1947,                 3.6996,                 1.7799,                0.03632,                0.03431,                0.01428,                0.00412,                 2.5497,                 3.8066,                 2.3492,                 2.0958,                 4.4393,                 1.9042,               0.006931,               0.006931,               0.006931
